,aqi,city,clouds_all,components_co,components_nh3,components_no,components_no2,components_o3,components_pm10,components_pm2_5,components_so2,dt,feels_like,humidity,lat,lon,pressure,sunrise,sunset,temp,temp_max,temp_min,visibility,weather_description,weather_icon,weather_id,weather_main,wind_deg,wind_speed,dt_pt
85,1.0,Saratoga,100.0,205.28,0.02,0.0,1.5,21.28,1.9,1.89,0.27,1622785223.0,291.23,97.0,43.1001,-73.8496,1011.0,1622798246.0,1622853026.0,290.87,292.32,289.61,10000.0,moderate rain,10n,501.0,Rain,197.0,1.92,2021-06-03 22:50:14.437531
86,1.0,Sausalito,23.0,163.56,0.33,0.0,1.61,50.07,3.11,1.36,0.58,1622785403.0,287.4,83.0,37.8591,-122.4853,1010.0,1622724531.0,1622777269.0,287.72,292.18,285.07,10000.0,few clouds,02n,801.0,Clouds,228.0,3.64,2021-06-03 22:50:14.437531
87,1.0,Sebastopol,98.0,188.59,0.0,0.12,4.67,39.34,7.1,6.86,10.25,1622785349.0,286.32,81.0,44.6,33.5333,1014.0,1622772158.0,1622827564.0,286.79,286.79,286.79,10000.0,overcast clouds,04d,804.0,Clouds,358.0,6.0,2021-06-03 22:50:14.437531
88,1.0,Sonoma,1.0,155.21,0.25,0.0,0.58,49.35,0.98,0.7,0.13,1622785202.0,289.87,61.0,38.55,-122.9011,1009.0,1622724510.0,1622777489.0,290.49,292.43,287.4,10000.0,clear sky,01n,800.0,Clear,170.0,2.57,2021-06-03 22:50:14.437531
89,1.0,South San Francisco,1.0,161.89,0.05,0.0,1.25,53.64,3.47,1.6,0.89,1622785165.0,287.64,85.0,37.6547,-122.4078,1012.0,1622724547.0,1622777215.0,287.89,292.45,285.11,10000.0,clear sky,01n,800.0,Clear,330.0,5.14,2021-06-03 22:50:14.437531
90,1.0,Suisun City,1.0,175.24,0.79,0.0,3.6,47.21,1.31,0.84,0.25,1622785413.0,289.03,56.0,38.2382,-122.0402,1007.0,1622724358.0,1622777228.0,289.84,295.48,285.92,10000.0,clear sky,01n,800.0,Clear,244.0,3.83,2021-06-03 22:50:14.437531
91,1.0,Sunnyvale,75.0,171.9,0.18,0.0,3.51,46.49,3.77,1.73,0.97,1622784600.0,289.3,72.0,37.3688,-122.0363,1011.0,1622724507.0,1622777077.0,289.71,293.47,283.98,10000.0,broken clouds,04n,803.0,Clouds,0.0,0.0,2021-06-03 22:50:14.437531
92,1.0,Tiburon,21.0,163.56,0.33,0.0,1.61,50.07,3.11,1.36,0.58,1622785142.0,287.51,83.0,37.8735,-122.4566,1012.0,1622724521.0,1622777265.0,287.82,292.23,285.12,10000.0,few clouds,02n,801.0,Clouds,253.0,2.24,2021-06-03 22:50:14.437531
93,1.0,Union City,1.0,178.58,0.23,0.0,6.0,47.21,5.16,1.93,1.62,1622785179.0,288.6,77.0,37.5958,-122.0192,1008.0,1622724464.0,1622777112.0,288.95,292.79,284.09,10000.0,clear sky,01n,800.0,Clear,165.0,2.24,2021-06-03 22:50:14.437531
94,1.0,Vacaville,1.0,190.26,1.11,0.0,5.83,48.64,1.77,1.09,0.47,1622785424.0,290.47,56.0,38.3566,-121.9877,1007.0,1622724325.0,1622777236.0,291.15,296.94,285.8,10000.0,clear sky,01n,800.0,Clear,246.0,3.72,2021-06-03 22:50:14.437531
95,1.0,Walnut Creek,7.0,247.0,1.0,0.01,26.05,26.82,5.48,2.66,3.19,1622784735.0,287.87,77.0,37.9063,-122.065,1007.0,1622724422.0,1622777176.0,288.29,293.38,285.05,10000.0,clear sky,01n,800.0,Clear,266.0,2.24,2021-06-03 22:50:14.437531
96,1.0,Windsor,1.0,330.45,0.18,0.13,23.31,13.41,10.83,9.1,2.59,1622785431.0,290.9,91.0,42.3001,-83.0165,1012.0,1622800611.0,1622855062.0,290.71,292.34,287.36,10000.0,clear sky,01n,800.0,Clear,210.0,3.09,2021-06-03 22:50:14.437531
97,1.0,Woodside,1.0,166.89,0.09,0.0,3.04,50.07,3.76,1.66,1.13,1622785434.0,287.66,77.0,37.4299,-122.2539,1010.0,1622724549.0,1622777140.0,288.1,291.75,283.48,10000.0,clear sky,01n,800.0,Clear,0.0,0.0,2021-06-03 22:50:14.437531
98,1.0,Yountville,10.0,160.22,0.5,0.0,2.23,44.35,0.98,0.74,0.07,1622785316.0,289.84,70.0,38.4016,-122.3608,1000.0,1622724406.0,1622777334.0,290.25,294.97,284.9,10000.0,clear sky,01n,800.0,Clear,255.0,1.59,2021-06-03 22:50:14.437531
