,date,location,forecast_date,temperature
107,2022-04-18,"San Diego,CA",2022-04-21,83.14
108,2022-04-18,"San Diego,CA",2022-04-22,85.41
109,2022-04-18,"San Diego,CA",2022-04-23,76.55
110,2022-04-18,"San Diego,CA",2022-04-24,79.59
111,2022-04-18,"San Diego,CA",2022-04-25,79.5
112,2022-04-18,"San Francisco,CA",2022-04-18,50.31
113,2022-04-18,"San Francisco,CA",2022-04-19,55.96
114,2022-04-18,"San Francisco,CA",2022-04-20,55.81
115,2022-04-18,"San Francisco,CA",2022-04-21,52.02
116,2022-04-18,"San Francisco,CA",2022-04-22,54.16
117,2022-04-18,"San Francisco,CA",2022-04-23,53.65
118,2022-04-18,"San Francisco,CA",2022-04-24,54.86
119,2022-04-18,"San Francisco,CA",2022-04-25,51.19
120,2022-04-18,"Burlington,VT",2022-04-19,68.63
121,2022-04-18,"Burlington,VT",2022-04-20,61.34
122,2022-04-18,"Burlington,VT",2022-04-21,71.4
123,2022-04-18,"Burlington,VT",2022-04-22,77.0
124,2022-04-18,"Burlington,VT",2022-04-23,77.23
125,2022-04-18,"Burlington,VT",2022-04-24,74.84
126,2022-04-18,"Burlington,VT",2022-04-25,55.65
127,2022-04-18,"Burlington,VT",2022-04-26,64.44
